craig,Default,23:20:57,
craig,Short Break,23:21:03,
craig,Lunch,23:21:05,
craig,Ready,23:21:06,
craig,Default,23:21:38,
craig,Lunch,23:22:45,
bob,Default,23:22:58,
bob,Short Break,23:27:15,
craig,Short Break,23:27:19,
craig,Ready,23:27:21,
craig,Default,23:27:34,
-1434392027481700559,Default,23:39:41,
-1473642827229377131,Default,23:39:48,
6744657464592220079,Default,23:39:53,
4773530645928077739,Default,23:39:59,
-3224399825558964366,Default,23:40:13,
8086915000601303014,Default,23:40:19,
3641709117941799551,Default,23:40:25,
3641709117941799551,Short Break,23:40:32,
3641709117941799551,Ready,23:40:33,
-4421408747790961955,Default,23:40:38,
8197160020756942203,Default,23:41:43,
-7915234744512572372,Default,23:44:18,
2242022024013393408,Default,23:44:25,
-24953732880492871,Default,23:44:31,
4044269190673918851,Default,23:44:36,
-4394003771469776774,Default,23:44:41,
-4394003771469776774,Ready,23:44:47,
-4394003771469776774,Short Break,23:44:48,
-4394003771469776774,Lunch,23:44:50,
-4394003771469776774,Ready,23:44:52,
-4394003771469776774,Short Break,23:44:52,
-8204657648625754552,Default,23:44:58,
-6180641469243257131,Default,23:53:14,
-7709868440078253159,Default,23:53:18,
-8368309417695556510,Default,23:53:22,
4756893113236288244,Default,23:53:26,
6644925953512984067,Default,23:53:30,
6924735402014007903,Default,23:53:38,
-3100609042233686644,Default,23:53:51,
6377111534716434438,Default,23:53:55,
100773783556730509,Default,23:54:01,
3728862352325783642,Default,23:54:06,
3728862352325783642,Ready,23:54:11,
3728862352325783642,Short Break,23:54:13,
3728862352325783642,Lunch,23:54:15,
3728862352325783642,Ready,23:54:21,
3728862352325783642,Short Break,23:54:22,
3728862352325783642,Lunch,23:54:23,
1378792775794059763,Default,00:07:41,
7396728339196194570,Default,00:07:46,
-2183747720244694071,Default,00:07:51,
5146962816007180240,Default,00:07:56,
3228864504671736999,Default,00:08:38,
5773541690641601028,Default,00:08:42,
7253826943679724091,Default,00:08:48,
2878673475746163462,Default,00:08:53,
3987249809345088788,Default,00:08:58,
8433201552130365866,Default,00:09:03,
7544470408542225564,Default,00:09:16,
295572551334315617,Default,00:09:21,
3407498454422994005,Default,00:09:26,
6615647387855687414,Default,00:09:32,
-4938472661857178239,Default,00:09:38,
8635058766306979270,Default,00:09:43,
700494521578381224,Default,00:09:47,
2454390454035073049,Default,00:09:53,
6255464459748645754,Default,00:09:58,
8407149710197479509,Default,00:10:06,
-3859437959850901535,Default,00:10:11,
-3859437959850901535,Ready,00:10:15,
-3859437959850901535,Short Break,00:10:16,
-3859437959850901535,Lunch,00:10:19,
-3859437959850901535,Short Break,00:10:20,
-3859437959850901535,Ready,00:10:21,
8407149710197479509,Ready,00:10:26,
8407149710197479509,Short Break,00:10:27,
8407149710197479509,Lunch,00:10:27,
8407149710197479509,Short Break,00:10:28,
8407149710197479509,Ready,00:10:29,
6255464459748645754,Ready,00:10:34,
6255464459748645754,Short Break,00:10:34,
6255464459748645754,Lunch,00:10:35,
6255464459748645754,Short Break,00:10:36,
6255464459748645754,Ready,00:10:37,
6255464459748645754,Lunch,00:10:40,
6255464459748645754,Short Break,00:10:40,
6255464459748645754,Ready,00:10:41,
2454390454035073049,Lunch,00:10:47,
2454390454035073049,Short Break,00:10:47,
2454390454035073049,Ready,00:10:50,
2454390454035073049,Short Break,00:10:51,
2454390454035073049,Lunch,00:10:52,
2454390454035073049,Short Break,00:10:53,
2454390454035073049,Ready,00:10:54,
700494521578381224,Ready,00:10:57,
700494521578381224,Short Break,00:10:57,
700494521578381224,Lunch,00:10:58,
700494521578381224,Short Break,00:10:59,
700494521578381224,Lunch,00:11:00,
700494521578381224,Ready,00:11:01,
8635058766306979270,Ready,00:11:03,
8635058766306979270,Short Break,00:11:04,
8635058766306979270,Lunch,00:11:05,
8635058766306979270,Short Break,00:11:05,
8635058766306979270,Lunch,00:11:06,
8635058766306979270,Ready,00:11:07,
-4938472661857178239,Ready,00:11:08,
-4938472661857178239,Short Break,00:11:09,
-4938472661857178239,Ready,00:11:10,
-4938472661857178239,Lunch,00:11:11,
-4938472661857178239,Short Break,00:11:11,
-4938472661857178239,Lunch,00:11:12,
-4938472661857178239,Ready,00:11:13,
6615647387855687414,Ready,00:11:15,
6615647387855687414,Short Break,00:11:16,
6615647387855687414,Ready,00:11:16,
6615647387855687414,Lunch,00:11:18,
6615647387855687414,Short Break,00:11:18,
295572551334315617,Short Break,00:11:24,
295572551334315617,Lunch,00:11:25,
295572551334315617,Ready,00:11:26,
295572551334315617,Short Break,00:11:26,
7544470408542225564,Ready,00:11:30,
7544470408542225564,Short Break,00:11:32,
7544470408542225564,Lunch,00:11:32,
7544470408542225564,Ready,00:11:34,
-439673631093202842,Default,00:11:39,
-1355654583363636824,Default,00:11:43,
5004278509428781458,Default,00:11:47,
3963005088122966348,Default,00:11:51,
-6393960915689707713,Default,00:11:57,
-3104377533333903800,Default,00:12:04,
-2811591899661666859,Default,00:12:09,
7994730214910537511,Default,00:12:14,
-6407987984794788224,Default,00:12:20,
4429469023067708021,Default,00:12:25,
-6410443305046688027,Default,00:12:29,
5899519600458356946,Default,00:12:36,
-2293477156956252974,Default,00:12:43,
-8049269034884991973,Default,00:13:04,
-9013360087174511404,Default,01:19:46,
-5491487381161721820,Default,01:19:50,
-6036599061723481948,Default,01:19:54,
-4454352631750593601,Default,01:19:59,
8518267429680973466,Default,01:20:05,
1392182352625868495,Default,01:20:09,
3398280190766661957,Default,01:20:14,
1090692871169598999,Default,01:20:19,
-3137914922020962685,Default,01:20:23,
-3994117295417923267,Default,01:20:28,
6193221226890801353,Default,01:20:32,
3535482074616408113,Default,01:21:46,
-6929432465789972847,Default,01:21:52,
4510439677702663021,Default,01:21:56,
8755298429319216521,Default,01:22:02,
5651125674761272817,Default,01:22:08,
7010857559676311378,Default,01:22:13,
-4057470047373262188,Default,01:22:19,
6301426344745034737,Default,01:22:24,
7166018345653093659,Default,01:22:29,
-6283204398005032259,Default,06:21:42,
craig,Default,06:23:01,
craig,Short Break,06:23:04,
craig,Lunch,06:23:05,
craig,Default,06:23:09,
craig,Short Break,06:23:16,
craig,Default,06:23:25,
craig,Ready,06:23:32,
craig,Default,06:23:41,
craig,Default,23:16:12,
craig,Short Break,23:16:17,
craig,Lunch,23:16:25,
craig,Short Break,23:16:28,
craig,Ready,23:16:31,
craig,Lunch,23:16:51,
craig,Default,23:17:21,
craig,Ready,23:17:35,
craig,Short Break,23:17:36,
craig,Lunch,23:17:38,
craig,Short Break,23:17:41,
craig,Ready,23:17:42,
craig,Short Break,23:17:43,
craig,Short Break,23:18:26,
craig,Default,23:18:43,
craig,Ready,23:18:47,
craig,Short Break,23:18:54,
craig,Lunch,23:18:57,
craig,Short Break,23:19:00,
craig,Ready,23:19:02,
craig,Short Break,23:19:08,
craig,Lunch,23:19:10,
craig,Short Break,23:19:12,
craig,Short Break,23:19:37,
craig,Lunch,23:19:38,
craig,Ready,23:19:42,
craig,Ready,23:21:39,
craig,Short Break,23:21:42,
craig,Lunch,23:21:43,
craig,Short Break,23:21:48,
craig,Ready,23:21:50,
craig,Ready,23:22:21,
craig,Short Break,23:22:22,
craig,Lunch,23:22:24,
craig,Default,23:43:36,
craig,Short Break,23:43:39,
craig,Lunch,23:43:42,
craig,Ready,23:43:44,
craig,Short Break,23:45:42,
craig,Lunch,23:45:45,
craig,Ready,23:45:47,
craig,Lunch,23:45:50,
craig,Default,23:52:31,
craig,Lunch,23:52:36,
craig,Ready,23:52:45,
craig,Short Break,23:52:48,
craig,Lunch,23:52:49,
craig,Ready,23:55:11,
craig,Short Break,23:55:16,
craig,Lunch,23:55:18,
craig,Default,23:55:29,
craig,Lunch,23:55:48,
craig,Short Break,23:55:49,
craig,Ready,23:55:51,
craig,Default,00:02:20,
craig,Short Break,00:02:34,
craig,Lunch,00:02:36,
craig,Ready,00:02:38,
craig,Default,00:11:29,
craig,Short Break,00:11:31,
craig,Lunch,00:11:34,
craig,Ready,00:11:37,
craig,Short Break,00:12:30,
craig,Ready,00:12:34,
craig,Lunch,00:12:37,
craig,Default,00:13:21,
craig,Default,00:21:50,
craig,Short Break,00:21:55,
craig,Lunch,00:21:58,
craig,Ready,00:22:02,
bob,Default,00:22:54,
bob,Short Break,00:23:50,
bob,Default,04:51:50,
craig,Default,04:54:55,
craig,Lunch,04:56:48,
craig,Short Break,04:58:06,
craig,Default,05:01:57,
craig,Ready,05:02:19,
craig,Short Break,05:02:37,
craig,Ready,05:03:41,
craig,Lunch,05:03:54,
craig,Ready,05:04:08,
bob,Default,05:04:22,
bob,Ready,05:04:40,
bob,Short Break,05:04:54,
Craig,Default,05:12:15,
Craig,Ready,05:12:19,
Craig,Short Break,05:12:20,
Craig,Lunch,05:12:22,
bob,Default,05:12:33,
bob,Lunch,05:12:47,
bob,Short Break,05:12:48,
bob,Ready,05:12:49,
bill,Default,05:12:57,
Craig,Default,05:13:49,
bob,Default,05:14:02,
Craig,Short Break,05:14:43,
bob,Ready,05:14:45,
Bill,Default,05:14:53,
Craig,Default,05:17:52,
Craig,Default,05:26:06,
Craig,Short Break,05:26:08,
Craig,Lunch,05:26:09,
Craig,Ready,05:26:10,
Craig,Default,05:53:31,
Craig,Short Break,05:53:34,
Craig,Ready,05:53:35,
Craig,Lunch,05:53:37,
bob,Default,05:53:42,
bob,Short Break,05:53:48,
bob,Ready,05:53:49,
bob,Lunch,05:53:49,
steve,Default,05:53:57,
steve,Short Break,05:54:01,
steve,Lunch,05:54:02,
steve,Ready,05:54:03,
bob,Short Break,05:55:20,
bill,Default,21:45:34,
steve,Default,21:45:47,
steve,Short Break,21:45:51,
bill,Lunch,21:45:53,
steve,Ready,21:47:17,
bill,Ready,21:47:19,
bill,Default,21:57:45,
bob,Default,21:57:53,
bob,Ready,21:57:57,
bill,Short Break,21:57:59,
bob,Default,22:05:43,
bill,Default,22:06:00,
bill,Short Break,22:06:04,
bob,Lunch,22:06:05,
bob,Default,22:10:00,
bill,Default,22:10:00,
bill,Default,22:25:45,
bob,Default,22:26:00,
bob,Ready,22:26:04,
bill,Ready,22:26:06,
craig,Default,22:26:12,
bob,Default,22:27:00,
bill,Default,22:27:00,
craig,Default,22:27:00,
bill,Default,22:49:13,
bob,Default,22:49:23,
bob,Short Break,22:49:26,
bill,Ready,22:49:28,
craig,Default,22:49:35,
craig,Lunch,22:49:39,
alex,Default,22:49:46,
alex,Short Break,22:49:48,
bob,Default,22:51:00,
bill,Default,22:51:00,
craig,Default,22:51:00,
alex,Default,22:51:00,
bill,Default,23:16:41,
craig,Default,23:16:51,
steve,Default,23:17:02,
steve,Lunch,23:17:07,
craig,Short Break,23:17:08,
bill,Ready,23:17:09,
steve,Default,23:20:00,
bill,Default,23:20:00,
craig,Default,23:20:00,
bil,Default,23:35:42,
bob,Default,23:35:49,
craig,Default,23:35:59,
stef,Default,23:36:07,
stef,Short Break,23:36:11,
craig,Ready,23:36:13,
bob,Lunch,23:36:14,
bil,Ready,23:36:16,
stef,Default,23:36:26,
peter,Default,23:36:46,
peter,Short Break,23:36:51,
peter,Ready,23:36:52,
peter,Lunch,23:36:53,
stef,Default,23:37:00,
bob,Default,23:37:00,
peter,Default,23:37:00,
craig,Default,23:37:00,
bil,Default,23:37:00,
stef,Short Break,23:37:12,
bil,Ready,23:37:14,
bob,Ready,23:37:16,
craig,Ready,23:37:30,
craig,Short Break,23:37:37,
craig,Lunch,23:37:42,
craig,Default,23:37:52,
craig,Default,23:57:13,
craig,Default,12:57:46,
